status,mask_path,cell_type
OK,/mnt2/anita/TechBio/classified/PKG - AML-Cytomorphology_LMU/for_fang/task_combine/apl_suspect/PMB_0001.tiff,apl_suspect
OK,/mnt2/anita/TechBio/classified/PKG - AML-Cytomorphology_LMU/for_fang/task_combine/apl_suspect/PMB_0002.tiff,apl_suspect
OK,/mnt2/anita/TechBio/classified/PKG - AML-Cytomorphology_LMU/for_fang/task_combine/apl_suspect/PMB_0003.tiff,apl_suspect
OK,/mnt2/anita/TechBio/classified/PKG - AML-Cytomorphology_LMU/for_fang/task_combine/apl_suspect/PMB_0004.tiff,apl_suspect
OK,/mnt2/anita/TechBio/classified/PKG - AML-Cytomorphology_LMU/for_fang/task_combine/apl_suspect/PMB_0005.tiff,apl_suspect
OK,/mnt2/anita/TechBio/classified/PKG - AML-Cytomorphology_LMU/for_fang/task_combine/apl_suspect/PMB_0006.tiff,apl_suspect
OK,/mnt2/anita/TechBio/classified/PKG - AML-Cytomorphology_LMU/for_fang/task_combine/apl_suspect/PMB_0007.tiff,apl_suspect
OK,/mnt2/anita/TechBio/classified/PKG - AML-Cytomorphology_LMU/for_fang/task_combine/apl_suspect/PMB_0008.tiff,apl_suspect
OK,/mnt2/anita/TechBio/classified/PKG - AML-Cytomorphology_LMU/for_fang/task_combine/apl_suspect/PMB_0009.tiff,apl_suspect
OK,/mnt2/anita/TechBio/classified/PKG - AML-Cytomorphology_LMU/for_fang/task_combine/apl_suspect/PMB_0010.tiff,apl_suspect
OK,/mnt2/anita/TechBio/classified/PKG - AML-Cytomorphology_LMU/for_fang/task_combine/apl_suspect/PMB_0011.tiff,apl_suspect
OK,/mnt2/anita/TechBio/classified/PKG - AML-Cytomorphology_LMU/for_fang/task_combine/apl_suspect/PMB_0012.tiff,apl_suspect
OK,/mnt2/anita/TechBio/classified/PKG - AML-Cytomorphology_LMU/for_fang/task_combine/apl_suspect/PMB_0013.tiff,apl_suspect
